bank_id,year,CET1,Tier1,TotalCapital,RWA,CET1_ratio,Tier1_ratio,Total_ratio,EU_7d,CCB,CCyB,Leverage_ratio,LCR,NSFR,Leverage_ratio 
Bank_A,2018,47500,51000,58000,400000,11.9,12.8,14.5,10.5,2.5,0.1,4.1,125,107,1442125
Bank_A,2019,49000,52500,59200,405000,12.1,12.9,14.6,10.5,2.5,0.1,4.2,130,109,1843120
Bank_A,2020,50500,54000,60200,410000,12.3,13.2,14.8,10.5,2.5,0.2,4.3,133,110,3021300
Bank_A,2021,52000,55500,62000,415000,12.5,13.3,15.0,10.5,2.5,0.2,4.4,135,112,2863210
Bank_A,2022,54000,57500,64000,420000,12.9,13.6,15.3,10.5,2.5,0.2,4.5,138,115,2951230
Bank_B,2018,42000,46000,52000,360000,11.7,12.5,13.9,10.5,2.5,0.0,3.8,115,102,2000235
Bank_B,2019,43000,47000,53000,365000,11.8,12.6,14.0,10.5,2.5,0.0,3.9,118,104,2101450
Bank_B,2020,44500,48500,54500,370000,12.0,12.8,14.2,10.5,2.5,0.1,4.0,120,106,2251230
Bank_B,2021,46000,49500,55500,375000,12.3,13.0,14.4,10.5,2.5,0.1,4.0,122,108,2241500
Bank_B,2022,47500,51000,57000,380000,12.5,13.2,14.6,10.5,2.5,0.1,4.1,125,110,2301230
Bank_C,2018,38000,41000,47000,330000,11.5,12.2,13.5,10.5,2.5,0.1,3.6,110,100,1503042
Bank_C,2019,39000,42000,48000,335000,11.6,12.3,13.6,10.5,2.5,0.1,3.7,112,101,1631320
Bank_C,2020,40000,43000,49000,340000,11.8,12.5,13.8,10.5,2.5,0.1,3.8,115,103,2175200
Bank_C,2021,41500,44500,50500,345000,12.0,12.7,14.0,10.5,2.5,0.1,3.9,117,104,1923400
Bank_C,2022,43000,46000,52000,350000,12.3,13.0,14.2,10.5,2.5,0.1,4.0,120,106,1893022
Bank_D,2018,55000,58000,64000,430000,12.8,13.5,14.9,10.5,2.5,0.0,4.4,132,112,2222032
Bank_D,2019,56500,59500,65500,435000,13.0,13.7,15.1,10.5,2.5,0.0,4.4,134,113,2344420
Bank_D,2020,57500,60500,66500,440000,13.1,13.8,15.2,10.5,2.5,0.1,4.5,135,115,2459302
Bank_D,2021,59000,62000,68000,445000,13.3,14.0,15.4,10.5,2.5,0.1,4.6,138,116,2935304
Bank_D,2022,61000,64000,70000,450000,13.6,14.3,15.6,10.5,2.5,0.1,4.7,140,118,3192940
Bank_E,2018,46000,49000,54000,380000,12.1,12.9,14.3,10.5,2.5,0.0,4.0,120,105,1139403
Bank_E,2019,47000,50000,55000,385000,12.2,13.0,14.4,10.5,2.5,0.0,4.1,122,106,1339450
Bank_E,2020,48500,51500,56500,390000,12.4,13.2,14.6,10.5,2.5,0.1,4.2,124,107,1433924
Bank_E,2021,50000,53000,58000,395000,12.6,13.4,14.8,10.5,2.5,0.1,4.3,126,108,1111111
Bank_E,2022,51500,54500,59500,400000,12.9,13.6,15.0,10.5,2.5,0.1,4.4,128,110,1204855
